Год,Значение,Метрика
1991,"260,4",ИПЦ
1992,"2608,84",ИПЦ
1993,"939,9",ИПЦ
1994,"315,14",ИПЦ
1995,"231,3",ИПЦ
1996,"121,81",ИПЦ
1997,"111,03",ИПЦ
1998,"184,43",ИПЦ
1999,"136,53",ИПЦ
2000,"120,18",ИПЦ
2001,"118,58",ИПЦ
2002,"115,06",ИПЦ
2003,"111,99",ИПЦ
2004,"111,73",ИПЦ
2005,"110,92",ИПЦ
2006,109,ИПЦ
2007,"111,87",ИПЦ
2008,"113,28",ИПЦ
2009,"108,8",ИПЦ
2010,"108,78",ИПЦ
2011,"106,1",ИПЦ
2012,"106,57",ИПЦ
2013,"106,47",ИПЦ
2014,"111,35",ИПЦ
2015,"112,91",ИПЦ
2016,"105,39",ИПЦ
2017,"102,51",ИПЦ
2018,"104,26",ИПЦ
2019,"103,04",ИПЦ
2020,"104,91",ИПЦ
2021,"108,39",ИПЦ
2022,"111,94",ИПЦ
2023,"107,42",ИПЦ
2024,"105,78",ИПЦ
1996,"145,8",Дефлятор
1997,"115,1",Дефлятор
1998,"118,6",Дефлятор
1999,"172,5",Дефлятор
2000,"137,6",Дефлятор
2001,"116,5",Дефлятор
2002,"115,6",Дефлятор
2003,"113,8",Дефлятор
2004,"120,3",Дефлятор
2005,"119,3",Дефлятор
2006,"115,2",Дефлятор
2007,"113,8",Дефлятор
2008,118,Дефлятор
2009,102,Дефлятор
2010,"114,2",Дефлятор
2011,"115,9",Дефлятор
2012,"108,9",Дефлятор
2013,"105,3",Дефлятор
2014,"107,5",Дефлятор
2015,"107,2",Дефлятор
2016,"102,8",Дефлятор
2017,"105,3",Дефлятор
2018,110,Дефлятор
2019,"103,3",Дефлятор
2020,"100,9",Дефлятор
2021,"119,1",Дефлятор
2022,"115,7",Дефлятор
2023,107,Дефлятор
