Месяц,Значение2,Значение,Тип
январь,"100,84","1,0084",Месячная
февраль,"100,46","1,0046",Месячная
март,"100,37","1,0037",Месячная
апрель,"100,38","1,0038",Месячная
май,"100,31","1,0031",Месячная
июнь,"100,37","1,0037",Месячная
июль,"100,63","1,0063",Месячная
август,"100,28","1,0028",Месячная
сентябрь,"100,87","1,0087",Месячная
октябрь,"100,83","1,0083",Месячная
ноябрь,"101,11","1,0111",Месячная
декабрь,"100,73","1,0073",Месячная
январь,"100,84","1,0084",Накопленная
февраль,"100,46","1,01303864",Накопленная
март,"100,37","1,016786882968",Накопленная
апрель,"100,38","1,02065067312328",Накопленная
май,"100,31","1,02381469020996",Накопленная
июнь,"100,37","1,02760280456374",Накопленная
июль,"100,63","1,03407670223249",Накопленная
август,"100,28","1,03697211699874",Накопленная
сентябрь,"100,87","1,04599377441663",Накопленная
октябрь,"100,83","1,05467552274429",Накопленная
ноябрь,"101,11","1,06638242104675",Накопленная
декабрь,"100,73","1,07416701272039",Накопленная
